Date,Words,Total Count
May 30 2015,997,13500
June 7 2015,497,13950
June 8 2015,825,14829
June 9 2015,560,15389
June 10 2015,478,15867
June 11 2015,1395,17262
June 12 2015,1034,18296
June 13 2015,370,18666
June 14 2015,373,19039
June 15 2015,322,19361
June 16 2015,451,19874
June 17 2015,460,20334
June 18 2015,446,20780
June 19 2015,784,21564
June 20 2015,514,22078
June 21 2015,427,22505
June 22 2015,1127,23632
June 23 2015,680,24312
June 24 2015,639,24951
June 25 2015,958,25909
June 26 2015,10,25919
June 27 2015,357,26276
June 28 2015,82,26358
June 30 2015,110,26468
July 01 2015,89,26557
July 02 2015,99,26656
July 03 2015,212,26868
July 04 2015,796,27664
July 05 2015,1196,28860
July 06 2015,888,29748
July 07 2015,44,29792
July 08 2015,118,29910
July 09 2015,107,30017
July 23 2015,251,30268
July 24 2015,217,30485
July 25 2015,318,30803
July 27 2015,152,30955
July 28 2015,665,31620
July 29 2015,261,31881
July 30 2015,670,32551
August 01 2015,217,32768
August 02 2015,601,33369
August 05 2015,328,33697
August 06 2015,126,33823
August 07 2015,508,34159
August 08 2015,-239,33920
August 09 2015,-12,33908
August 10 2015,437,34345
August 11 2015,9024,43369
August 12 2015,455,43824
August 13 2015,795,44619
August 15 2015,1649,46268
